                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.6776,                0.82067,                0.85147,                0.76804,                0.31977,                0.37425,                 0.1981,                 1.6651,                0.78043,                0.83035,               0.006436,               0.006436,               0.006436
                     38,                 1.6739,                0.82498,                0.85715,                0.76023,                0.34387,                 0.3836,                0.19995,                  1.684,                0.77676,                0.82799,               0.006337,               0.006337,               0.006337
                     39,                 1.6709,                0.83374,                0.85407,                0.75912,                0.33815,                0.37584,                0.19744,                 1.6747,                 0.7745,                0.83251,               0.006238,               0.006238,               0.006238
                     40,                 1.6683,                0.82187,                0.85109,                0.78282,                0.33331,                0.38337,                 0.2058,                 1.6727,                0.77262,                0.83063,               0.006139,               0.006139,               0.006139
                     41,                 1.6714,                0.81517,                0.84921,                0.75756,                0.34567,                0.38364,                0.20244,                 1.6634,                0.76776,                0.82224,                0.00604,                0.00604,                0.00604
                     42,                 1.6368,                0.80003,                0.84821,                0.76615,                0.35106,                0.39103,                0.20945,                 1.6389,                0.76609,                 0.8224,               0.005941,               0.005941,               0.005941
                     43,                 1.6328,                0.80394,                0.84918,                0.78149,                  0.343,                0.39358,                 0.2109,                 1.6205,                0.74274,                0.82352,               0.005842,               0.005842,               0.005842
                     44,                 1.6221,                0.78716,                0.85101,                0.77654,                0.34687,                0.39541,                0.21514,                 1.6011,                0.73404,                0.82171,               0.005743,               0.005743,               0.005743
                     45,                 1.6181,                0.79644,                0.84382,                0.78547,                0.34743,                0.40089,                0.21451,                 1.6114,                0.74379,                0.82286,               0.005644,               0.005644,               0.005644
                     46,                 1.6339,                0.79571,                0.84617,                 0.7907,                0.34581,                0.39515,                0.21406,                 1.6201,                0.74629,                0.82048,               0.005545,               0.005545,               0.005545
                     47,                 1.6155,                0.78262,                 0.8476,                0.78739,                 0.3527,                0.40005,                0.21531,                 1.6159,                0.75376,                0.82216,               0.005446,               0.005446,               0.005446
                     48,                 1.6059,                0.77728,                0.84618,                0.79797,                0.34567,                0.39845,                0.21517,                 1.6055,                0.74217,                0.82597,               0.005347,               0.005347,               0.005347
                     49,                 1.6005,                 0.7731,                0.84827,                0.78787,                0.34247,                0.39752,                0.21598,                 1.6054,                0.74348,                0.81717,               0.005248,               0.005248,               0.005248
                     50,                 1.5821,                0.75996,                0.84619,                0.80928,                0.35015,                 0.4076,                0.21959,                 1.5807,                0.72825,                0.81859,               0.005149,               0.005149,               0.005149
                     51,                 1.6015,                0.77687,                0.84383,                0.79761,                0.35139,                0.40519,                0.22107,                 1.5824,                0.72183,                0.81755,                0.00505,                0.00505,                0.00505
                     52,                 1.5833,                0.76563,                0.84552,                0.78893,                0.35042,                0.40564,                0.22454,                 1.5718,                 0.7174,                0.81708,               0.004951,               0.004951,               0.004951
                     53,                  1.589,                0.76073,                0.84402,                0.78611,                0.34959,                0.40569,                0.22201,                 1.5947,                0.71977,                0.81715,               0.004852,               0.004852,               0.004852
                     54,                 1.5771,                0.76261,                0.84482,                0.78826,                0.35356,                0.40554,                0.22419,                 1.5765,                0.72238,                0.81423,               0.004753,               0.004753,               0.004753
                     55,                 1.5812,                0.76289,                0.84058,                0.79718,                0.35057,                0.41311,                0.22715,                 1.5624,                0.70821,                0.81577,               0.004654,               0.004654,               0.004654
                     56,                  1.584,                0.77106,                0.84362,                0.78427,                0.35604,                0.40997,                0.22552,                 1.5612,                0.70851,                0.81314,               0.004555,               0.004555,               0.004555
                     57,                 1.5748,                0.75383,                0.84117,                 0.7825,                0.35438,                0.40773,                0.22557,                 1.5519,                0.70113,                0.81401,               0.004456,               0.004456,               0.004456
                     58,                 1.5421,                0.73811,                0.84096,                0.79403,                0.35982,                0.41453,                 0.2295,                 1.5452,                0.70396,                0.81326,               0.004357,               0.004357,               0.004357
                     59,                  1.536,                0.74227,                0.84265,                0.80504,                0.35588,                0.41517,                0.22979,                  1.546,                0.70188,                0.81336,               0.004258,               0.004258,               0.004258
                     60,                  1.549,                0.73882,                0.83758,                0.80675,                0.36231,                0.42513,                0.23504,                 1.5294,                0.69288,                0.81229,               0.004159,               0.004159,               0.004159
                     61,                 1.5499,                0.74112,                0.84306,                0.80894,                0.36075,                0.41826,                0.23178,                 1.5428,                0.69582,                0.81621,                0.00406,                0.00406,                0.00406
                     62,                 1.5337,                0.73909,                0.83787,                0.79492,                0.36261,                0.42211,                0.23416,                 1.5278,                0.69369,                0.81287,               0.003961,               0.003961,               0.003961
                     63,                 1.5311,                0.73455,                0.84122,                0.80746,                0.35667,                0.41687,                0.23569,                 1.5133,                0.69333,                0.81127,               0.003862,               0.003862,               0.003862
                     64,                 1.5149,                0.72982,                 0.8333,                0.79797,                0.35736,                0.41731,                0.23637,                  1.516,                0.69514,                0.81101,               0.003763,               0.003763,               0.003763
                     65,                  1.514,                0.72105,                0.83638,                0.80934,                0.36206,                0.42553,                0.23945,                 1.5188,                 0.6892,                 0.8081,               0.003664,               0.003664,               0.003664
                     66,                 1.5071,                 0.7224,                0.83395,                0.81594,                0.35859,                0.42449,                0.23848,                 1.5175,                0.68363,                 0.8096,               0.003565,               0.003565,               0.003565
                     67,                 1.5164,                0.72356,                0.83353,                 0.8065,                 0.3611,                0.42715,                0.23978,                 1.5057,                 0.6866,                0.80601,               0.003466,               0.003466,               0.003466
                     68,                 1.5152,                0.72103,                 0.8333,                0.79881,                 0.3628,                0.43143,                0.24503,                 1.4971,                0.68096,                0.80571,               0.003367,               0.003367,               0.003367
                     69,                 1.5023,                0.71283,                0.83319,                 0.8146,                0.35762,                 0.4262,                0.24217,                 1.5074,                 0.6797,                0.80901,               0.003268,               0.003268,               0.003268
                     70,                 1.4812,                 0.7007,                0.83588,                0.80879,                0.36149,                0.42739,                0.24245,                 1.4892,                0.67611,                0.80687,               0.003169,               0.003169,               0.003169
                     71,                 1.5126,                0.71738,                0.83048,                0.81473,                0.35872,                0.42797,                 0.2425,                 1.4808,                0.67375,                0.80499,                0.00307,                0.00307,                0.00307
                     72,                 1.5081,                0.71146,                 0.8322,                0.80645,                0.36371,                0.42858,                0.24443,                 1.4895,                0.67789,                0.80686,               0.002971,               0.002971,               0.002971
                     73,                 1.4828,                0.70634,                0.82894,                0.80401,                0.36055,                0.42599,                0.24437,                 1.4921,                0.66799,                0.80549,               0.002872,               0.002872,               0.002872
